PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1993_RHODE_ISLAND,RHODE_ISLAND,1993,138939,919594,46215,351512,521867,901540,588044,268106,11541,12708,465,11348,11603,10650,8094,92255,38470,131190,,,,
1993_SOUTH_CAROLINA,SOUTH_CAROLINA,1993,631613,3031112,277419,1419961,1333732,2994038,1592384,820795,269661,221824,7244,45490,50357,50591,33949,414217,176745,598206,,,,
1993_SOUTH_DAKOTA,SOUTH_DAKOTA,1993,107050,465650,52787,120851,292012,481665,265549,139963,22308,43632,612,10574,11086,11427,8936,89480,39971,130063,,,,
1993_TENNESSEE,TENNESSEE,1993,844668,3268642,334410,1535027,1399205,3286481,1969619,781510,209586,248037,9542,68462,65646,64124,47668,534579,236542,780663,,,,
1993_TEXAS,TEXAS,1993,3535333,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683,2989512,120446,268646,284394,274208,178889,2291961,927209,3339616,,,,
1993_UTAH,UTAH,1993,462323,1638305,116791,928596,592918,1665011,881924,410867,128758,207312,2690,33623,35467,38031,31692,287657,137235,427582,,,,
1993_VERMONT,VERMONT,1993,97454,837540,34179,216778,586583,809853,405876,193543,22698,15655,2024,7766,8457,7496,6227,65038,27377,94439,,,,
1993_VIRGINIA,VIRGINIA,1993,1032842,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062,488487,3186,81787,81615,78443,60314,652886,278009,934081,,,,
1993_WASHINGTON,WASHINGTON,1993,896197,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224,942214,5087,68908,73824,70666,55847,586429,255528,847044,,,,
1993_WEST_VIRGINIA,WEST_VIRGINIA,1993,317719,1832154,140913,1220263,470978,1829848,1023497,500010,116349,171484,3981,20077,22349,25677,21507,189013,96264,289258,,,,
1993_WISCONSIN,WISCONSIN,1993,829085,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368,500029,17270,61136,63756,64669,53688,517311,248284,782865,,,,
1993_WYOMING,WYOMING,1993,100313,615130,35437,308683,271010,614807,334071,193624,21047,48076,,7190,8046,8268,6548,64212,29497,,,,,
1994_ALABAMA,ALABAMA,1994,730004,2970223,331823,1850894,787506,3103266,1697593,826442,306977,231508,9051,57723,56773,59165,41730,468472,201285,678808,,,,
1994_ALASKA,ALASKA,1994,123868,1052282,134168,668229,249885,1116160,516242,446458,36589,98486,2593,10309,10318,9503,7057,80817,33338,116748,,,,
1994_ARIZONA,ARIZONA,1994,708482,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778,696618,3540,59545,60032,55334,40119,475475,194196,673211,,,,
1994_ARKANSAS,ARKANSAS,1994,312695,1393287,132108,810396,450783,1445984,816270,403608,75434,105349,1652,35620,34488,36437,27161,279964,127437,409053,,,,
1994_CALIFORNIA,CALIFORNIA,1994,4120498,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630,1916061,66450,448237,426919,388561,285132,3372294,1421547,4860291,,,,
1994_COLORADO,COLORADO,1994,549570,3061865,165539,1269532,1626794,3113755,1574164,977343,95796,328219,9853,48673,51877,49332,35464,410452,170200,590505,,,,
1994_CONNECTICUT,CONNECTICUT,1994,479522,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749,53083,7601,43511,40737,35665,28640,319899,131181,458681,,,,
1994_DELAWARE,DELAWARE,1994,103782,705798,50572,447430,207796,732323,413915,217782,30320,50805,618,7523,8367,8563,5865,68678,29994,99290,,,,
1994_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1994,80678,735720,79432,0,656288,769818,351028,332951,63271,22568,5508,7628,5783,5031,3203,46557,16950,69015,,,,
1994_FLORIDA,FLORIDA,1994,2039884,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855,1769738,47993,172135,173297,155852,100720,1349538,541522,1939053,,,,
1994_GEORGIA,GEORGIA,1994,1235304,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376,723316,12859,108398,101054,98982,64606,813393,336298,1162550,,,,
1994_HAWAII,HAWAII,1994,181212,1133949,77993,1025813,30143,1146267,615270,322736,93482,114779,631,15678,14572,13592,10473,117320,50083,168034,,,,
1994_IDAHO,IDAHO,1994,236774,949999,77626,576106,296267,974781,538783,273654,44562,99924,1501,17260,18361,19680,15780,150126,71561,223188,,,,
1994_ILLINOIS,ILLINOIS,1994,1875956,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271,508619,42938,146314,143030,135134,109360,1123470,513525,1679933,,,,
1994_INDIANA,INDIANA,1994,963071,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493,551285,4660,71594,72408,77799,62727,598843,286639,890142,,,,
1994_IOWA,IOWA,1994,497925,2987394,139312,1339912,1508170,2974072,1551221,858078,120252,195410,5901,37402,36960,39039,34078,295436,147945,449282,,,,
1994_KANSAS,KANSAS,1994,457744,2700587,134686,1540727,1025174,2643192,1371720,856673,156331,172340,2640,33445,36488,36757,28811,290633,130730,424003,,,,
1994_KENTUCKY,KENTUCKY,1994,490069,2491948,238630,1561340,691978,2392549,1310208,761029,145930,126669,17934,44191,48233,50562,39482,396472,187132,601538,,,,
1994_LOUISIANA,LOUISIANA,1994,798312,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613,197625,19292,60705,62461,57747,40666,491345,209228,719865,,,,
1994_MAINE,MAINE,1994,211731,1357116,77393,609841,669882,1338353,799103,325201,72234,73376,1006,16569,17397,16571,12534,136559,56145,193710,,,,
1994_MARYLAND,MARYLAND,1994,772638,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041,387699,18834,62341,61982,57222,43223,493023,203853,715710,,,,
1994_MASSACHUSETTS,MASSACHUSETTS,1994,877384,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810,282757,13982,77777,71131,64097,51618,560406,235220,809608,,,,
1994_MICHIGAN,MICHIGAN,1994,1601845,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226,877390,4409,136353,123829,117380,88136,979403,424941,1408753,,,,
1994_MINNESOTA,MINNESOTA,1994,802913,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949,565106,8060,62908,64605,64607,55982,510458,240267,758785,,,,
1994_MISSISSIPPI,MISSISSIPPI,1994,503374,1911579,296345,1048767,566467,1919812,1072529,515600,148515,159184,1146,38528,38606,39970,26436,316885,132372,450403,,,,
1994_MISSOURI,MISSOURI,1994,852324,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316,443146,16002,66607,68457,66025,52654,538847,247769,802618,,,,
1994_MONTANA,MONTANA,1994,163968,878986,83029,446392,349565,878084,508299,271711,36336,50333,483,11820,13009,13229,10681,103962,47424,151869,,,,
1994_NEBRASKA,NEBRASKA,1994,283962,1710913,101579,528743,1080591,1769248,1033858,447649,63108,173484,3985,21752,22144,23037,19144,177318,84045,265348,,,,
1994_NEVADA,NEVADA,1994,235800,1266549,56664,817216,392669,1344245,654272,406932,44739,184082,1424,20462,20573,18881,13659,162776,65393,229593,,,,
1994_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1994,181688,1145147,37805,89556,1017786,1119762,648513,316069,38919,34260,1210,8325,16352,14926,10919,128771,50417,180398,,,,
1994_NEW_JERSEY,NEW_JERSEY,1994,651554,6957898,293378,3102722,3561798,6765105,3522248,2430560,268715,320715,10283,92316,87374,80901,65662,701250,292484,1004017,,,,
1994_NEW_MEXICO,NEW_MEXICO,1994,286759,1342868,164101,982237,196530,1223759,622138,391385,63549,129528,4174,24055,24294,25443,16925,200939,89471,294584,,,,
1994_NEW_YORK,NEW_YORK,1994,2702937,23933662,1442038,9092275,13399349,25359726,14829280,6782725,992378,1717307,32227,212239,202024,191181,144139,1627846,746836,2406909,,,,
1994_NORTH_CAROLINA,NORTH_CAROLINA,1994,1131662,5648390,454682,3553217,1640491,5740906,3161072,1629603,362721,490626,8949,97508,89492,86344,62324,718414,309304,1036667,,,,
1994_NORTH_DAKOTA,NORTH_DAKOTA,1994,118778,603902,65506,247062,291334,621313,319014,158223,46522,50938,639,8677,9236,9694,8418,74103,35869,110611,,,,
1994_OHIO,OHIO,1994,1816817,10735756,537642,4271944,5926170,10780138,5785984,3675789,472696,658754,17505,141284,136834,142132,112266,1131983,519001,1668489,,,,
1994_OKLAHOMA,OKLAHOMA,1994,316322,1518540,120788,839113,558639,1529205,765718,473061,116301,129800,5367,46355,47929,47149,35899,389564,166593,561524,,,,
1994_OREGON,OREGON,1994,518425,3088542,212544,1215471,1660527,3191792,1719357,1068111,110201,223352,1069,38930,41739,40473,33356,330390,149412,480871,,,,
1994_PENNSYLVANIA,PENNSYLVANIA,1994,1720681,13271564,686113,5132066,7453385,13701725,7100564,3795048,703486,963256,3583,132132,135061,132994,109673,1092188,507639,1603410,,,,
