State Name,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black Students ,Hispanic Students ,White Students ,Hawaiian Nat./Pacific Isl. Students ,Two or More Races Students,Year
AMERICAN SAMOA,–,–,–,–,–,–,–,2016
ARIZONA,50331,31050,58715,497937,437740,3619,29648,2016
ARKANSAS,3130,7638,102209,60627,304280,3364,10884,2016
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,–,–,2016
CALIFORNIA,34704,707395,361752,3360562,1500932,30436,230956,2016
COLORADO,6424,27733,41560,300107,486818,2077,34393,2016
CONNECTICUT,1471,26788,68963,124128,301348,527,14708,2016
DELAWARE,518,4981,41323,21537,62084,161,4243,2016
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,389,4698,9288,15339,33887,1289,8524,2016
DISTRICT OF COLUMBIA,129,1212,59568,12901,8592,93,1529,2016
FLORIDA,9032,73787,628674,880892,1101896,4247,93706,2016
GEORGIA,3453,66453,648758,256082,721134,1967,59390,2016
GUAM,15,7098,45,47,184,22805,627,2016
HAWAII,575,55070,3517,21751,23385,55366,22331,2016
IDAHO,4118,3575,2976,51619,222188,911,6890,2016
ILLINOIS,5435,96278,353776,521516,996791,2057,65926,2016
INDIANA,2269,22525,129859,116569,725730,711,49094,2016
IOWA,1904,12133,28626,52132,394006,1079,18134,2016
KANSAS,4590,13523,34951,95514,322073,858,24375,2016
KENTUCKY,823,10978,72679,40972,537184,707,23255,2016
LOUISIANA,4955,10948,317931,42595,327107,608,14567,2016
MAINE,1535,2669,6014,3664,163829,190,3712,2016
MARYLAND,2517,55406,302417,135999,343853,1238,38171,2016
MASSACHUSETTS,2204,61904,84390,178441,604936,899,31252,2016
MICHIGAN,10279,48233,279605,113616,1030950,1346,52202,2016
MINNESOTA,14484,56448,89175,75792,592808,587,35090,2016
MISSISSIPPI,1163,5062,239774,16499,218063,238,6401,2016
MISSOURI,3691,17789,148435,54043,663355,2144,29777,2016
MONTANA,16516,1179,1273,6500,115033,338,4480,2016
NEBRASKA,4370,8047,21136,57120,213942,430,10969,2016
NEVADA,4455,25618,48961,194914,158866,6506,28207,2016
NEW HAMPSHIRE,506,5781,3478,9051,158339,167,5103,2016
NEW JERSEY,1751,134402,226371,376239,644983,3088,22011,2016
NEW MEXICO,34222,3812,6482,205853,79345,442,5538,2016
NEW YORK,17549,246605,478893,703014,1211496,–,54069,2016
NORTH CAROLINA,20415,46360,398220,250233,768840,2033,58833,2016
NORTH DAKOTA,9551,1601,4583,4994,85586,284,2045,2016
OHIO,2153,36689,281873,88312,1223964,1278,82316,2016
OKLAHOMA,98956,13399,61455,112314,346462,2234,58058,2016
OREGON,8305,22726,13744,129410,365593,4032,32597,2016
PENNSYLVANIA,2623,62893,254491,179227,1159171,1387,57622,2016
PUERTO RICO,317,54,73,378849,499,26,0,2016
RHODE ISLAND,1009,4585,11636,34322,84851,207,5404,2016
SOUTH CAROLINA,2465,11320,262474,64870,394477,1012,26915,2016
SOUTH DAKOTA,15133,2334,3936,6933,101194,126,4597,2016
TENNESSEE,1651,18668,225396,90406,641042,946,23126,2016
TEXAS,20927,213433,668829,2768431,1513535,7407,108915,2016
U.S. VIRGIN ISLANDS,12,57,10762,2687,212,13,62,2016
UTAH,7362,10987,8900,107580,487807,10072,15162,2016
VERMONT,205,1744,1737,1543,79928,54,2655,2016
VIRGINIA,3701,85319,293934,184752,648182,1982,65720,2016
WASHINGTON,13987,79634,47936,243489,610406,11217,80361,2016
WEST VIRGINIA,287,1831,12360,4368,251231,131,7244,2016
WISCONSIN,10406,32716,82208,97847,617942,728,25953,2016
WYOMING,3367,793,1079,13361,73961,150,2006,2016
ALABAMA,6179,9943,254503,34722,432707,328,6239,2012
ALASKA,30770,8065,4730,8147,66704,2904,9847,2012
AMERICAN SAMOA,–,–,–,–,–,†,†,2012
ARIZONA,54596,30079,58029,462624,455010,2880,17101,2012
ARKANSAS,3244,6941,102438,49504,310896,2346,7745,2012
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,†,†,2012
CALIFORNIA,42486,693313,404412,3239296,1617931,35232,181534,2012
COLORADO,7143,26522,40932,272490,479288,1817,26073,2012
CONNECTICUT,1923,24546,72122,108165,337489,373,9819,2012
DELAWARE,622,4421,40793,16846,63876,81,2307,2012
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,†,†,2012
DISTRICT OF COLUMBIA,64,1035,56480,9711,5690,88,843,2012
FLORIDA,9888,67758,612465,762854,1131901,3008,80282,2012
GEORGIA,3732,57165,623601,205317,743258,1803,50140,2012
GUAM,10,7404,58,41,212,22864,654,2012
HAWAII,970,62521,4387,11758,26081,61959,15030,2012
IDAHO,3767,3695,2845,45486,218400,963,4717,2012
ILLINOIS,6260,87546,375919,493698,1058714,2009,58951,2012
INDIANA,3032,17868,126980,93230,754181,569,44905,2012
IOWA,2236,10245,25303,44191,400101,759,13035,2012
KANSAS,5454,12323,35583,83488,327538,769,20953,2012
KENTUCKY,960,9344,73380,29457,553406,531,14909,2012
LOUISIANA,5479,10300,316947,28276,333736,427,8225,2012
MAINE,1584,2932,5585,3080,173447,185,2156,2012
MARYLAND,2989,50052,302031,103594,362855,1184,31381,2012
MASSACHUSETTS,2305,54358,79015,153324,639111,1050,24206,2012
MICHIGAN,12183,42827,296124,97494,1088587,1347,34975,2012
MINNESOTA,15076,52186,77274,62083,613019,650,19450,2012
MISSISSIPPI,958,4666,243438,12609,225743,162,3043,2012
MISSOURI,4182,17267,153711,44581,680249,1470,15124,2012
MONTANA,16530,1212,1436,5248,115184,369,2370,2012
NEBRASKA,4381,6276,20262,49405,211406,355,9211,2012
NEVADA,5031,24786,42336,174121,164626,5502,23232,2012
NEW HAMPSHIRE,612,5443,3696,7429,171011,115,3594,2012
NEW JERSEY,1735,121434,220238,305026,693416,3153,11429,2012
NEW MEXICO,34287,4110,6816,200483,87381,276,3872,2012
NEW YORK,14675,226656,500175,630920,1304500,5214,22578,2012
NORTH CAROLINA,22098,38019,397489,203503,790132,1293,55330,2012
NORTH DAKOTA,8866,1134,2549,2783,81237,220,857,2012
NORTHERN MARIANAS,0,4304,0,4,74,6589,40,2012
OHIO,2442,30923,281996,66120,1282799,787,74963,2012
OKLAHOMA,110617,12340,65168,87496,357497,1833,31169,2012
OREGON,10247,22274,14404,119790,371294,3690,26509,2012
PENNSYLVANIA,2832,57681,271598,153519,1251083,997,33685,2012
PUERTO RICO,479,38,63,451674,452,32,2,2012
RHODE ISLAND,913,4123,11597,30816,91400,216,3789,2012
SOUTH CAROLINA,2142,9834,259170,48644,386941,840,19615,2012
SOUTH DAKOTA,14950,1966,3390,4993,100417,124,2176,2012
TENNESSEE,1876,16595,233357,66268,670565,1037,9995,2012
TEXAS,22390,177203,640723,2541966,1527763,6258,84167,2012
U.S. VIRGIN ISLANDS,22,53,12272,2951,233,22,158,2012
UTAH,7436,10612,7967,91722,463938,9024,8133,2012
VERMONT,315,1515,1722,1251,82688,63,1875,2012
VIRGINIA,4132,75840,298931,149272,673363,1762,54583,2012
WASHINGTON,15850,74574,47715,205031,629898,9308,63077,2012
WEST VIRGINIA,327,2000,14266,3368,259435,100,3374,2012
WISCONSIN,11277,30742,85495,84561,642176,665,16189,2012
WYOMING,2885,710,979,11326,72519,123,1557,2012
ALABAMA,6136,9920,252397,37685,429179,471,8849,2013
ALASKA,30914,8104,4671,8402,65863,3095,10440,2013
AMERICAN SAMOA,–,–,–,–,–,†,†,2013
ARIZONA,53388,30455,57348,471424,452811,2977,20981,2013
ARKANSAS,3316,7185,102231,51352,310458,2661,8954,2013
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,†,†,2013
CALIFORNIA,40641,691712,394562,3281066,1589297,33975,193838,2013
COLORADO,6716,27266,40496,278619,480366,1860,28238,2013
CONNECTICUT,1694,25199,71386,112461,328144,465,11605,2013
DELAWARE,594,4509,40457,17911,62676,112,2767,2013
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,†,†,2013
DISTRICT OF COLUMBIA,84,1072,56804,10590,6370,71,1149,2013
FLORIDA,9457,69073,617966,788088,1121254,3211,83113,2013
GEORGIA,3576,59067,628849,217122,740789,1869,52060,2013
GUAM,10,7401,58,41,212,22813,651,2013
HAWAII,893,61002,4074,15256,25704,60613,17218,2013
IDAHO,3683,3730,2878,47113,221283,938,5209,2013
ILLINOIS,6017,89903,365764,500426,1046882,2041,61847,2013
INDIANA,2834,18713,127608,100018,746143,595,45458,2013
IOWA,2122,10704,25824,46731,398951,848,14645,2013
KANSAS,5197,12525,35338,86998,325990,761,22234,2013
KENTUCKY,905,9670,73391,32811,550446,594,17350,2013
LOUISIANA,5365,10463,319734,30899,334175,526,9741,2013
MAINE,1521,2875,5637,3185,169722,181,2618,2013
MARYLAND,2721,51176,301726,110529,359110,1222,33154,2013
MASSACHUSETTS,2292,56517,81806,156976,630150,1020,26012,2013
MICHIGAN,11744,44306,286537,100397,1071840,1469,39077,2013
