,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
315,FLORIDA,2007,95187,18251243.0,131878.0,746249.0
316,GEORGIA,2007,54256,9544750.0,46917.0,371248.0
317,HAWAII,2007,5457,1283388.0,3544.0,52866.0
318,IDAHO,2007,7055,1499402.0,3841.0,34124.0
319,ILLINOIS,2007,45215,12852548.0,68528.0,377322.0
320,INDIANA,2007,25137,6345289.0,21310.0,213887.0
321,IOWA,2007,8692,2988046.0,8970.0,79133.0
322,KANSAS,2007,8721,2775997.0,12730.0,102961.0
323,KENTUCKY,2007,15364,4241474.0,12329.0,107987.0
324,LOUISIANA,2007,20461,4293204.0,31789.0,180516.0
325,MAINE,2007,2148,1317207.0,1565.0,32249.0
326,MARYLAND,2007,23184,5618344.0,36063.0,192796.0
327,MASSACHUSETTS,2007,11071,6449755.0,28487.0,154743.0
328,MICHIGAN,2007,50233,10071822.0,53765.0,308550.0
329,MINNESOTA,2007,9192,5197621.0,15054.0,158257.0
330,MISSISSIPPI,2007,17478,2918785.0,8502.0,90887.0
331,MISSOURI,2007,29823,5878415.0,32962.0,225113.0
332,MONTANA,2007,2909,957861.0,3638.0,27837.0
333,NEBRASKA,2007,4402,1774571.0,5524.0,55765.0
334,NEVADA,2007,13311,2565382.0,19365.0,97118.0
335,NEW HAMPSHIRE,2007,2759,1315828.0,1896.0,26394.0
336,NEW JERSEY,2007,25354,8685920.0,28544.0,192338.0
337,NEW MEXICO,2007,6429,1969915.0,13311.0,75168.0
338,NEW YORK,2007,62738,19297729.0,79962.0,383624.0
339,NORTH CAROLINA,2007,38240,9061032.0,42231.0,369893.0
340,NORTH DAKOTA,2007,1392,639715.0,1343.0,12796.0
341,OHIO,2007,49894,11466917.0,40759.0,397681.0
342,OKLAHOMA,2007,23778,3617316.0,18234.0,128714.0
343,OREGON,2007,13373,3747455.0,11015.0,132773.0
344,PENNSYLVANIA,2007,45530,12432792.0,51806.0,293850.0
345,RHODE ISLAND,2007,3745,1057832.0,2424.0,27576.0
346,SOUTH CAROLINA,2007,23578,4407709.0,34630.0,189304.0
347,SOUTH DAKOTA,2007,3276,796214.0,1926.0,13829.0
348,TENNESSEE,2007,19268,6156719.0,46482.0,252342.0
349,TEXAS,2007,158576,23904380.0,122014.0,985421.0
350,UTAH,2007,5165,2645330.0,6347.0,93082.0
351,VERMONT,2007,2116,621254.0,802.0,14702.0
352,VIRGINIA,2007,32977,7712091.0,21035.0,191763.0
353,WASHINGTON,2007,16911,6468424.0,21768.0,261776.0
354,WEST VIRGINIA,2007,4907,1812035.0,5016.0,45620.0
355,WISCONSIN,2007,22839,5601640.0,16330.0,159305.0
356,WYOMING,2007,1927,522830.0,1344.0,15053.0
358,ALABAMA,2008,25363,4661900.0,21110.0,190416.0
359,ALASKA,2008,4997,686293.0,4475.0,20090.0
360,ARIZONA,2008,39455,6500180.0,31567.0,266653.0
361,ARKANSAS,2008,13135,2855390.0,14649.0,110360.0
362,CALIFORNIA,2008,171085,36756666.0,185329.0,1080996.0
363,COLORADO,2008,23211,4939456.0,17480.0,139340.0
364,CONNECTICUT,2008,19905,3501252.0,10737.0,87210.0
365,DELAWARE,2008,6944,873092.0,6187.0,31385.0
366,FLORIDA,2008,99878,18328340.0,126256.0,758889.0
367,GEORGIA,2008,52719,9685744.0,47353.0,387917.0
368,HAWAII,2008,5455,1288198.0,3510.0,45944.0
369,IDAHO,2008,7033,1523816.0,3680.0,31940.0
370,ILLINOIS,2008,45474,12901563.0,67780.0,378355.0
371,INDIANA,2008,26392,6376792.0,21525.0,213639.0
372,IOWA,2008,8723,3002555.0,8651.0,73273.0
