,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
271,NEVADA,2011,4258855.0,2161550.0,33608.0,33745.0,405467.0,237.03187889999998,278.1131537,212.57519169999998,253.8334404,12159,2720028.0,15452.0,70075.0,117399.0,2.3629489603024574,25.23629489603025,22.211720226843102,1.5122873345935728,40.79395085066162,2.4939928743060733,29.546772723506503,21.203082276907782,1.607423978788632,0.803711989394316,44.345016157096694
272,NEVADA,2012,4109706.0,2049362.0,33462.0,34192.0,409982.0,,,,,12594,2754354.0,16763.0,77510.0,133552.0,1.90121155638397,23.410997204100653,20.931966449207827,1.3233923578751166,39.403541472506994,2.5606694560669454,29.698744769874473,21.656903765690377,1.4811715481171548,0.6610878661087867,43.94142259414226
273,NEVADA,2013,4057443.0,2058538.0,33827.0,34541.0,415933.0,236.26289939999998,278.28668089999996,213.7553136,267.2150118,12789,2791494.0,16888.0,79177.0,132945.0,1.7326732673267329,28.898514851485146,16.50680693069307,1.5315594059405941,39.43378712871287,2.668213457076566,29.34206165064634,22.456082200861783,1.4252568776930727,0.5883327809081869,43.520053032814054
274,NEVADA,2014,4043820.0,2104452.0,34993.0,35318.0,424312.0,,,,,12693,2839099.0,18045.0,74538.0,122904.0,5.150946614361248,33.34470407641139,19.307521746546136,1.7738359201773837,45.369264881460005,2.7787133715055576,30.56584708656113,21.446615021892892,1.5914449309531828,0.6399461098012799,42.977433479285956
275,NEVADA,2015,4183085.0,2170424.0,36474.0,35802.0,432192.0,233.8270162,275.1718688,214.4255845,269.9567776,13235,2890845.0,20118.0,77137.0,131103.0,2.0744356314826113,25.305064063453326,13.468578401464306,0.9151921903599756,35.173886516168395,2.668278919790407,30.697299476017736,21.8782748891576,1.7492946392583635,0.6287787182587666,42.37807335751713
276,NEW_HAMPSHIRE,2001,1796043.0,937479.0,16612.0,17111.0,196545.0,,,,,2419,1259359.0,2144.0,27089.0,4901.0,0.9546539379474941,9.307875894988067,13.842482100238662,0.23866348448687352,81.38424821002387,0.6134969325153374,6.595092024539877,11.503067484662576,0.0,1.0736196319018405,80.21472392638037
277,NEW_HAMPSHIRE,2002,1956047.0,1047490.0,15939.0,17421.0,197293.0,,,,,2475,1274405.0,2056.0,26250.0,5684.0,1.0373443983402488,9.336099585062241,16.390041493775932,0.4149377593360996,77.80082987551867,0.6220839813374806,7.309486780715396,11.975116640746501,0.0,0.6220839813374806,79.47122861586314
278,NEW_HAMPSHIRE,2007,2608190.0,1395619.0,15026.0,16218.0,190283.0,248.57152659999997,287.557061,229.01717340000002,268.19744280000003,2759,1315828.0,1896.0,26394.0,1460.0,0.6535947712418301,1.3071895424836601,1.9607843137254901,1.3071895424836601,97.38562091503267,0.0,2.18978102189781,2.9197080291970803,0.0,1.4598540145985401,93.43065693430657
279,NEW_HAMPSHIRE,2008,2715961.0,1495009.0,14613.0,15783.0,186966.0,,,,,2854,1315809.0,2054.0,28387.0,991.0,0.7194244604316548,0.7194244604316548,2.158273381294964,1.4388489208633095,92.08633093525181,0.0,2.73972602739726,2.73972602739726,0.0,2.054794520547945,93.15068493150685
280,NEW_HAMPSHIRE,2009,2757401.0,1546316.0,14560.0,15517.0,185171.0,251.0717526,292.3218172,229.1445204,251.3056546,2915,1324575.0,2125.0,28790.0,1721.0,0.6369426751592357,2.547770700636943,3.1847133757961785,1.2738853503184715,83.43949044585987,0.0,2.5806451612903225,3.225806451612903,0.0,2.5806451612903225,92.25806451612904
